City,County,Credit Score,State
Blossburg,Tioga County,670.0,Pennsylvania
Croydon,Bucks County,670.0,Pennsylvania
Roulette,Potter County,670.0,Pennsylvania
Williamsport,Lycoming County,669.0,Pennsylvania
Glenolden,Delaware County,669.0,Pennsylvania
University Park,Centre County,669.0,Pennsylvania
Port Carbon,Schuylkill County,669.0,Pennsylvania
Wilkes Barre,Luzerne County,669.0,Pennsylvania
Lake Lynn,Fayette County,668.0,Pennsylvania
Pottstown,Montgomery County,668.0,Pennsylvania
Republic,Fayette County,667.0,Pennsylvania
Mount Union,Huntingdon County,667.0,Pennsylvania
West Springfield,Erie County,667.0,Pennsylvania
Masontown,Fayette County,667.0,Pennsylvania
Albrightsville,Carbon County,666.0,Pennsylvania
Scranton,Lackawanna County,666.0,Pennsylvania
Blakeslee,Monroe County,665.0,Pennsylvania
Mckeesport,Allegheny County,665.0,Pennsylvania
Shamokin,Northumberland County,665.0,Pennsylvania
Woodlyn,Delaware County,665.0,Pennsylvania
Lemont Furnace,Fayette County,665.0,Pennsylvania
Elkland,Tioga County,665.0,Pennsylvania
Brackenridge,Allegheny County,664.0,Pennsylvania
Ambridge,Beaver County,664.0,Pennsylvania
Grindstone,Fayette County,664.0,Pennsylvania
Everson,Fayette County,662.0,Pennsylvania
Ellsworth,Washington County,662.0,Pennsylvania
Coaldale,Schuylkill County,661.0,Pennsylvania
Donora,Washington County,660.0,Pennsylvania
Pocono Summit,Monroe County,660.0,Pennsylvania
Plymouth,Luzerne County,659.0,Pennsylvania
Glassport,Allegheny County,659.0,Pennsylvania
Long Pond,Monroe County,658.0,Pennsylvania
Reading,Berks County,658.0,Pennsylvania
Marcus Hook,Delaware County,657.0,Pennsylvania
Hazleton,Luzerne County,657.0,Pennsylvania
Lyndora,Butler County,657.0,Pennsylvania
Turtle Creek,Allegheny County,657.0,Pennsylvania
Harrisburg,Dauphin County,655.0,Pennsylvania
Girardville,Schuylkill County,655.0,Pennsylvania
Minersville,Schuylkill County,654.0,Pennsylvania
Mount Pocono,Monroe County,653.0,Pennsylvania
Toughkenamon,Chester County,653.0,Pennsylvania
Bushkill,Pike County,652.0,Pennsylvania
Allentown,Lehigh County,651.0,Pennsylvania
Point Marion,Fayette County,649.0,Pennsylvania
Shenandoah,Schuylkill County,645.0,Pennsylvania
Bristol,Bucks County,644.0,Pennsylvania
Mahanoy City,Schuylkill County,643.0,Pennsylvania
Pitcairn,Allegheny County,643.0,Pennsylvania
Lansdowne,Delaware County,643.0,Pennsylvania
Folcroft,Delaware County,641.0,Pennsylvania
White Deer,Union County,640.0,Pennsylvania
East Pittsburgh,Allegheny County,640.0,Pennsylvania
Lansford,Carbon County,639.0,Pennsylvania
Glen Lyon,Luzerne County,637.0,Pennsylvania
Highspire,Dauphin County,635.0,Pennsylvania
Sharon,Mercer County,634.0,Pennsylvania
Philadelphia,Philadelphia County,631.0,Pennsylvania
Upper Darby,Delaware County,626.0,Pennsylvania
Farrell,Mercer County,625.0,Pennsylvania
Tobyhanna,Monroe County,620.0,Pennsylvania
Wilmerding,Allegheny County,618.0,Pennsylvania
La Belle,Fayette County,617.0,Pennsylvania
Crum Lynne,Delaware County,609.0,Pennsylvania
Duquesne,Allegheny County,606.0,Pennsylvania
Sharon Hill,Delaware County,602.0,Pennsylvania
Braddock,Allegheny County,601.0,Pennsylvania
Darby,Delaware County,573.0,Pennsylvania
Chester,Delaware County,552.0,Pennsylvania
Bellaire,Harris County,767.0,Texas
Colleyville,Tarrant County,766.0,Texas
Southlake,Tarrant County,761.0,Texas
Fulshear,Fort Bend County,756.0,Texas
Austin,Hays County,755.0,Texas
Round Top,Fayette County,753.0,Texas
San Antonio,Comal County,750.0,Texas
Richardson,Collin County,748.0,Texas
Driftwood,Hays County,748.0,Texas
Flower Mound,Denton County,746.0,Texas
Ransom Canyon,Lubbock County,745.0,Texas
Sunnyvale,Dallas County,744.0,Texas
Katy,Fort Bend County,742.0,Texas
Argyle,Denton County,742.0,Texas
Coppell,Dallas County,741.0,Texas
Sugar Land,Fort Bend County,735.0,Texas
Bulverde,Comal County,735.0,Texas
Fayetteville,Fayette County,734.0,Texas
Cat Spring,Colorado County,733.0,Texas
Horseshoe Bay,Llano County,733.0,Texas
Frisco,Collin County,732.0,Texas
Helotes,Bexar County,731.0,Texas
Mico,Medina County,731.0,Texas
Aledo,Parker County,730.0,Texas
Allen,Collin County,729.0,Texas
Prosper,Collin County,729.0,Texas
Muenster,Cooke County,728.0,Texas
Salado,Bell County,728.0,Texas
Dripping Springs,Hays County,727.0,Texas
New Ulm,Austin County,727.0,Texas
Frisco,Denton County,725.0,Texas
Spicewood,Travis County,725.0,Texas
Utopia,Bandera County,725.0,Texas
Roanoke,Denton County,724.0,Texas
Spring,Montgomery County,724.0,Texas
Friendswood,Galveston County,724.0,Texas
Georgetown,Williamson County,724.0,Texas
Wimberley,Hays County,723.0,Texas
Falls City,Wilson County,721.0,Texas
Kingwood,Harris County,720.0,Texas
Plano,Collin County,719.0,Texas
Bluff Dale,Erath County,719.0,Texas
Fredericksburg,Gillespie County,717.0,Texas
Crawford,McLennan County,717.0,Texas
Cedar Park,Williamson County,716.0,Texas
Spring Branch,Comal County,716.0,Texas
Gordon,Palo Pinto County,714.0,Texas
Sachse,Dallas County,713.0,Texas
Keller,Tarrant County,713.0,Texas
Boerne,Bexar County,712.0,Texas
Shiner,Lavaca County,712.0,Texas
Inez,Victoria County,712.0,Texas
Medina,Bandera County,711.0,Texas
Rockwall,Rockwall County,711.0,Texas
League City,Galveston County,710.0,Texas
Tuscola,Taylor County,709.0,Texas
Montgomery,Montgomery County,709.0,Texas
Austin,Williamson County,708.0,Texas
Saint Hedwig,Bexar County,708.0,Texas
Dallas,Collin County,708.0,Texas
Cypress,Harris County,708.0,Texas
Mountain Home,Kerr County,708.0,Texas
Grapevine,Tarrant County,707.0,Texas
Moulton,Lavaca County,705.0,Texas
Coldspring,San Jacinto County,705.0,Texas
Pearland,Brazoria County,705.0,Texas
Hunt,Kerr County,705.0,Texas
Manchaca,Travis County,705.0,Texas
Port O Connor,Calhoun County,705.0,Texas
College Station,Brazos County,704.0,Texas
Claude,Armstrong County,704.0,Texas
Weimar,Colorado County,704.0,Texas
Port Aransas,Nueces County,703.0,Texas
Leander,Travis County,702.0,Texas
Richardson,Dallas County,701.0,Texas
Haslet,Tarrant County,701.0,Texas
Carrollton,Denton County,701.0,Texas
Mckinney,Collin County,701.0,Texas
Damon,Fort Bend County,701.0,Texas
Lorena,McLennan County,701.0,Texas
Bergheim,Kendall County,700.0,Texas
Fort Davis,Jeff Davis County,699.0,Texas
Seabrook,Harris County,699.0,Texas
Schulenburg,Fayette County,699.0,Texas
Richmond,Fort Bend County,699.0,Texas
Boerne,Kendall County,699.0,Texas
The Colony,Denton County,698.0,Texas
Windthorst,Archer County,698.0,Texas
South Padre Island,Cameron County,697.0,Texas
Hallettsville,Lavaca County,697.0,Texas
Leakey,Real County,697.0,Texas
La Grange,Fayette County,696.0,Texas
Cumby,Hopkins County,696.0,Texas
Burton,Washington County,696.0,Texas
Chappell Hill,Washington County,696.0,Texas
La Vernia,Wilson County,696.0,Texas
Celina,Collin County,696.0,Texas
Liberty Hill,Williamson County,694.0,Texas
Lavon,Collin County,694.0,Texas
Kemah,Galveston County,694.0,Texas
Leander,Williamson County,694.0,Texas
Hawkins,Wood County,694.0,Texas
Christoval,Tom Green County,694.0,Texas
Lake Jackson,Brazoria County,694.0,Texas
Grand Prairie,Tarrant County,693.0,Texas
Midlothian,Ellis County,693.0,Texas
Port Neches,Jefferson County,693.0,Texas
Tomball,Harris County,693.0,Texas
Woodway,McLennan County,693.0,Texas
Spring,Harris County,692.0,Texas
Alleyton,Colorado County,692.0,Texas
Normangee,Leon County,692.0,Texas
Schertz,Guadalupe County,692.0,Texas
Johnson City,Blanco County,691.0,Texas
Round Rock,Williamson County,691.0,Texas
Harper,Gillespie County,691.0,Texas
Hewitt,McLennan County,690.0,Texas
Granbury,Hood County,690.0,Texas
Jourdanton,Atascosa County,690.0,Texas
Forestburg,Montague County,690.0,Texas
Cibolo,Guadalupe County,690.0,Texas
Brookeland,Jasper County,690.0,Texas
Mc Gregor,McLennan County,689.0,Texas
Sumner,Lamar County,689.0,Texas
Manvel,Brazoria County,689.0,Texas
Blanco,Blanco County,689.0,Texas
Canyon,Randall County,689.0,Texas
Scroggins,Franklin County,689.0,Texas
Baytown,Chambers County,689.0,Texas
Melissa,Collin County,689.0,Texas
Mason,Mason County,689.0,Texas
Buda,Hays County,688.0,Texas
Cresson,Hood County,688.0,Texas
Lott,Falls County,688.0,Texas
Bedford,Tarrant County,688.0,Texas
New Braunfels,Comal County,687.0,Texas
Hamshire,Jefferson County,687.0,Texas
Garwood,Colorado County,687.0,Texas
Panhandle,Carson County,687.0,Texas
Magnolia,Montgomery County,687.0,Texas
Llano,Llano County,687.0,Texas
Yantis,Wood County,687.0,Texas
Bellville,Austin County,687.0,Texas
Kaufman,Kaufman County,687.0,Texas
Canyon Lake,Comal County,686.0,Texas
Ropesville,Hockley County,686.0,Texas
West,McLennan County,686.0,Texas
Vega,Oldham County,686.0,Texas
Sour Lake,Hardin County,686.0,Texas
Gruver,Hansford County,686.0,Texas
Brenham,Washington County,686.0,Texas
East Bernard,Wharton County,685.0,Texas
North Richland Hills,Tarrant County,685.0,Texas
Rowlett,Dallas County,685.0,Texas
Buchanan Dam,Llano County,685.0,Texas
Flint,Smith County,685.0,Texas
China Spring,McLennan County,685.0,Texas
Gunter,Grayson County,684.0,Texas
Bullard,Cherokee County,684.0,Texas
Goldthwaite,Mills County,684.0,Texas
Columbus,Colorado County,684.0,Texas
Flatonia,Fayette County,684.0,Texas
Sunset,Montague County,684.0,Texas
Powderly,Lamar County,684.0,Texas
Adkins,Bexar County,683.0,Texas
Bandera,Bandera County,683.0,Texas
Pipe Creek,Bandera County,682.0,Texas
Decatur,Wise County,682.0,Texas
Weatherford,Parker County,682.0,Texas
Lindale,Smith County,682.0,Texas
Wylie,Collin County,682.0,Texas
Amarillo,Randall County,682.0,Texas
Hemphill,Sabine County,682.0,Texas
Anderson,Grimes County,682.0,Texas
Kennedale,Tarrant County,681.0,Texas
Miles,Runnels County,681.0,Texas
Pottsboro,Grayson County,681.0,Texas
Bellevue,Clay County,681.0,Texas
Lumberton,Hardin County,681.0,Texas
Granger,Williamson County,681.0,Texas
Comfort,Kendall County,681.0,Texas
Lexington,Lee County,681.0,Texas
Missouri City,Fort Bend County,681.0,Texas
Port Bolivar,Galveston County,681.0,Texas
Danbury,Brazoria County,680.0,Texas
Kempner,Lampasas County,680.0,Texas
Iola,Grimes County,680.0,Texas
White Deer,Carson County,680.0,Texas
Streetman,Freestone County,680.0,Texas
Marble Falls,Burnet County,680.0,Texas
Center Point,Kerr County,680.0,Texas
Silverton,Briscoe County,680.0,Texas
Nederland,Jefferson County,680.0,Texas
Mansfield,Tarrant County,680.0,Texas
Addison,Dallas County,680.0,Texas
Austin,Travis County,680.0,Texas
Katy,Harris County,679.0,Texas
Louise,Wharton County,679.0,Texas
Marion,Guadalupe County,679.0,Texas
Van Alstyne,Grayson County,679.0,Texas
Franklin,Robertson County,679.0,Texas
D Hanis,Medina County,679.0,Texas
Canadian,Hemphill County,678.0,Texas
Cross Plains,Callahan County,678.0,Texas
Hurst,Tarrant County,678.0,Texas
Lipan,Hood County,678.0,Texas
Trenton,Fannin County,678.0,Texas
Palo Pinto,Palo Pinto County,678.0,Texas
Yorktown,DeWitt County,678.0,Texas
Tioga,Grayson County,678.0,Texas
Happy,Randall County,678.0,Texas
Perrin,Jack County,678.0,Texas
Ponder,Denton County,678.0,Texas
Pilot Point,Denton County,677.0,Texas
Early,Brown County,677.0,Texas
Ganado,Jackson County,677.0,Texas
Castroville,Medina County,677.0,Texas
Booker,Lipscomb County,677.0,Texas
Rockport,Aransas County,677.0,Texas
Needville,Fort Bend County,677.0,Texas
Henrietta,Clay County,677.0,Texas
Sealy,Austin County,676.0,Texas
Crandall,Kaufman County,676.0,Texas
Pflugerville,Travis County,676.0,Texas
Mertzon,Irion County,676.0,Texas
Brashear,Hopkins County,676.0,Texas
Winnsboro,Wood County,676.0,Texas
Maypearl,Ellis County,676.0,Texas
Kerrville,Kerr County,676.0,Texas
Lake Dallas,Denton County,676.0,Texas
Whitehouse,Smith County,676.0,Texas
Paradise,Wise County,676.0,Texas
Ravenna,Fannin County,676.0,Texas
Burleson,Johnson County,676.0,Texas
Gustine,Comanche County,675.0,Texas
Stratford,Sherman County,675.0,Texas
Burkeville,Newton County,675.0,Texas
China,Jefferson County,675.0,Texas
Santa Fe,Galveston County,675.0,Texas
Idalou,Lubbock County,675.0,Texas
Tolar,Hood County,675.0,Texas
Deer Park,Harris County,675.0,Texas
Seymour,Baylor County,675.0,Texas
Broaddus,San Augustine County,675.0,Texas
Blanket,Brown County,675.0,Texas
Little Elm,Denton County,675.0,Texas
Groves,Jefferson County,675.0,Texas
Burnet,Burnet County,675.0,Texas
Canton,Van Zandt County,675.0,Texas
Brackettville,Kinney County,675.0,Texas
Glen Rose,Somervell County,675.0,Texas
West Columbia,Brazoria County,675.0,Texas
Bremond,Robertson County,675.0,Texas
Kingsbury,Guadalupe County,675.0,Texas
Belton,Bell County,675.0,Texas
Jbsa Ft Sam Houston,Bexar County,675.0,Texas
Grandview,Johnson County,675.0,Texas
Detroit,Red River County,674.0,Texas
Poth,Wilson County,674.0,Texas
Graham,Young County,674.0,Texas
Valley View,Cooke County,674.0,Texas
Spearman,Hansford County,674.0,Texas
Paducah,Cottle County,674.0,Texas
Oglesby,Coryell County,674.0,Texas
San Saba,San Saba County,674.0,Texas
Marquez,Leon County,674.0,Texas
Red Rock,Bastrop County,674.0,Texas
Robert Lee,Coke County,674.0,Texas
Portland,San Patricio County,674.0,Texas
Emory,Rains County,674.0,Texas
May,Brown County,674.0,Texas
Albany,Shackelford County,674.0,Texas
Menard,Menard County,674.0,Texas
Yoakum,Lavaca County,674.0,Texas
Olmito,Cameron County,673.0,Texas
Axtell,McLennan County,673.0,Texas
Caldwell,Burleson County,673.0,Texas
Holliday,Archer County,673.0,Texas
Coupland,Williamson County,673.0,Texas
Iowa Park,Wichita County,673.0,Texas
Clarendon,Donley County,673.0,Texas
Sandia,Jim Wells County,673.0,Texas
Washington,Washington County,673.0,Texas
Santo,Palo Pinto County,673.0,Texas
Whitesboro,Grayson County,673.0,Texas
Eldorado,Schleicher County,673.0,Texas
Sudan,Lamb County,673.0,Texas
Bridge City,Orange County,673.0,Texas
Douglass,Nacogdoches County,673.0,Texas
Nocona,Montague County,672.0,Texas
Hico,Hamilton County,672.0,Texas
Millsap,Parker County,672.0,Texas
Lewisville,Denton County,672.0,Texas
Kennard,Houston County,672.0,Texas
Junction,Kimble County,672.0,Texas
Saint Jo,Montague County,672.0,Texas
Throckmorton,Throckmorton County,672.0,Texas
Gorman,Eastland County,672.0,Texas
Strawn,Palo Pinto County,672.0,Texas
Quitman,Wood County,672.0,Texas
Centerville,Leon County,672.0,Texas
Farwell,Parmer County,672.0,Texas
Coahoma,Howard County,672.0,Texas
Wolfforth,Lubbock County,672.0,Texas
Lometa,Lampasas County,672.0,Texas
Etoile,Nacogdoches County,672.0,Texas
Farmersville,Collin County,672.0,Texas
Lampasas,Lampasas County,672.0,Texas
Thorndale,Milam County,672.0,Texas
Marfa,Presidio County,672.0,Texas
Plains,Yoakum County,672.0,Texas
Arthur City,Lamar County,672.0,Texas
Royse City,Rockwall County,672.0,Texas
George West,Live Oak County,672.0,Texas
Alvord,Wise County,672.0,Texas
Campbell,Hunt County,672.0,Texas
Riesel,McLennan County,672.0,Texas
Wolfe City,Hunt County,671.0,Texas
Comanche,Comanche County,671.0,Texas
Ingram,Kerr County,671.0,Texas
Bells,Grayson County,671.0,Texas
La Coste,Medina County,671.0,Texas
Mc Dade,Bastrop County,671.0,Texas
Richards,Montgomery County,671.0,Texas
Krum,Denton County,671.0,Texas
Goliad,Goliad County,671.0,Texas
Bruceville,McLennan County,671.0,Texas
Rocksprings,Edwards County,671.0,Texas
Aspermont,Stonewall County,671.0,Texas
Aubrey,Denton County,671.0,Texas
Sunray,Moore County,671.0,Texas
Riviera,Kleberg County,671.0,Texas
Huffman,Harris County,671.0,Texas
Alpine,Brewster County,671.0,Texas
Stockdale,Wilson County,671.0,Texas
Roby,Fisher County,671.0,Texas
Kingsland,Llano County,671.0,Texas
Grapeland,Houston County,671.0,Texas
Zavalla,Angelina County,671.0,Texas
Paige,Bastrop County,670.0,Texas
Larue,Henderson County,670.0,Texas
Warren,Tyler County,670.0,Texas
Graford,Palo Pinto County,670.0,Texas
Ben Wheeler,Van Zandt County,670.0,Texas
Sadler,Grayson County,670.0,Texas
Mclean,Gray County,670.0,Texas
Lovelady,Houston County,670.0,Texas
North Zulch,Madison County,670.0,Texas
Stephenville,Erath County,670.0,Texas
Pinehurst,Montgomery County,670.0,Texas
Harker Heights,Bell County,670.0,Texas
Anna,Collin County,670.0,Texas
Murchison,Henderson County,670.0,Texas
Spur,Dickens County,669.0,Texas
Universal City,Bexar County,669.0,Texas
Wellington,Collingsworth County,669.0,Texas
Liverpool,Brazoria County,669.0,Texas
Alba,Wood County,669.0,Texas
Bridgeport,Wise County,669.0,Texas
Morgan,Bosque County,669.0,Texas
Buffalo Gap,Taylor County,669.0,Texas
Conroe,Montgomery County,669.0,Texas
Floresville,Wilson County,669.0,Texas
Fritch,Hutchinson County,669.0,Texas
Whitewright,Grayson County,669.0,Texas
Eustace,Henderson County,668.0,Texas
Thornton,Limestone County,668.0,Texas
Whitney,Hill County,668.0,Texas
Shallowater,Lubbock County,668.0,Texas
Anahuac,Chambers County,668.0,Texas
Nevada,Collin County,668.0,Texas
Holland,Bell County,668.0,Texas
Ledbetter,Lee County,668.0,Texas
Justin,Denton County,668.0,Texas
Mineola,Wood County,668.0,Texas
Edna,Jackson County,668.0,Texas
Milano,Milam County,668.0,Texas
Pointblank,San Jacinto County,668.0,Texas
Avery,Red River County,668.0,Texas
Giddings,Lee County,667.0,Texas
Valley Mills,Bosque County,667.0,Texas
Barry,Navarro County,667.0,Texas
Denton,Denton County,667.0,Texas
Little River Academy,Bell County,667.0,Texas
Kress,Swisher County,667.0,Texas
La Porte,Harris County,667.0,Texas
Dike,Hopkins County,667.0,Texas
Trinidad,Henderson County,667.0,Texas
Three Rivers,Live Oak County,667.0,Texas
Poolville,Parker County,667.0,Texas
Camp Wood,Real County,667.0,Texas
Carrollton,Dallas County,667.0,Texas
Cookville,Titus County,667.0,Texas
Dyess Afb,Taylor County,666.0,Texas
Colmesneil,Tyler County,666.0,Texas
Waxahachie,Ellis County,666.0,Texas
Kountze,Hardin County,666.0,Texas
New Waverly,Walker County,666.0,Texas
Waller,Harris County,666.0,Texas
Sheppard Afb,Wichita County,666.0,Texas
Sanger,Denton County,666.0,Texas
Arp,Smith County,666.0,Texas
Goodfellow Afb,Tom Green County,666.0,Texas
Bronte,Coke County,666.0,Texas
De Leon,Comanche County,666.0,Texas
Meridian,Bosque County,666.0,Texas
Archer City,Archer County,666.0,Texas
Kosse,Limestone County,666.0,Texas
Cleveland,San Jacinto County,666.0,Texas
Bowie,Montague County,666.0,Texas
Blossom,Lamar County,666.0,Texas
Wilson,Lynn County,666.0,Texas
Chandler,Henderson County,665.0,Texas
Wallis,Austin County,665.0,Texas
Collinsville,Grayson County,665.0,Texas
Caddo Mills,Hunt County,665.0,Texas
Mc Queeney,Guadalupe County,665.0,Texas
Perryton,Ochiltree County,665.0,Texas
Bonham,Fannin County,665.0,Texas
Buckholts,Milam County,665.0,Texas
Chireno,Nacogdoches County,665.0,Texas
Moody,McLennan County,665.0,Texas
Rosebud,Falls County,665.0,Texas
Rising Star,Eastland County,665.0,Texas
Gordonville,Grayson County,665.0,Texas
Telephone,Fannin County,665.0,Texas
Howe,Grayson County,665.0,Texas
Baird,Callahan County,665.0,Texas
Troup,Cherokee County,665.0,Texas
Roscoe,Nolan County,664.0,Texas
Winnie,Chambers County,664.0,Texas
Buffalo,Leon County,664.0,Texas
Stinnett,Hutchinson County,664.0,Texas
Jarrell,Williamson County,664.0,Texas
Brazoria,Brazoria County,664.0,Texas
Rhome,Wise County,664.0,Texas
Eastland,Eastland County,664.0,Texas
Apple Springs,Trinity County,664.0,Texas
Evant,Coryell County,664.0,Texas
Sweeny,Brazoria County,664.0,Texas
Scurry,Kaufman County,664.0,Texas
Wheeler,Wheeler County,664.0,Texas
Porter,Montgomery County,664.0,Texas
Boyd,Wise County,664.0,Texas
Saltillo,Hopkins County,664.0,Texas
Gainesville,Cooke County,664.0,Texas
Rogers,Bell County,664.0,Texas
Temple,Bell County,664.0,Texas
White Oak,Gregg County,664.0,Texas
Hull,Liberty County,664.0,Texas
Calvert,Robertson County,664.0,Texas
Hermleigh,Scurry County,664.0,Texas
Bastrop,Bastrop County,663.0,Texas
Florence,Williamson County,663.0,Texas
Munday,Knox County,663.0,Texas
Azle,Parker County,663.0,Texas
Kirbyville,Jasper County,663.0,Texas
Thrall,Williamson County,663.0,Texas
Crosby,Harris County,663.0,Texas
Pollok,Angelina County,663.0,Texas
Hamilton,Hamilton County,663.0,Texas
Avinger,Marion County,663.0,Texas
Dickinson,Galveston County,663.0,Texas
Mount Vernon,Franklin County,663.0,Texas
Shelbyville,Shelby County,663.0,Texas
Blessing,Matagorda County,663.0,Texas
Hallsville,Harrison County,663.0,Texas
Clyde,Callahan County,663.0,Texas
Palacios,Matagorda County,663.0,Texas
Buna,Jasper County,662.0,Texas
Blue Ridge,Collin County,662.0,Texas
Bangs,Brown County,662.0,Texas
Pickton,Hopkins County,662.0,Texas
San Angelo,Tom Green County,662.0,Texas
Carlsbad,Tom Green County,662.0,Texas
Crowley,Tarrant County,662.0,Texas
Leonard,Fannin County,662.0,Texas
Jewett,Leon County,662.0,Texas
Angleton,Brazoria County,662.0,Texas
Bogata,Red River County,662.0,Texas
Iraan,Pecos County,662.0,Texas
De Kalb,Bowie County,662.0,Texas
Mount Calm,Hill County,662.0,Texas
Bertram,Burnet County,662.0,Texas
Dublin,Erath County,662.0,Texas
Frankston,Anderson County,662.0,Texas
Ozona,Crockett County,662.0,Texas
Atlanta,Cass County,662.0,Texas
Smithville,Bastrop County,662.0,Texas
Godley,Johnson County,662.0,Texas
Walnut Springs,Bosque County,662.0,Texas
Brookston,Lamar County,662.0,Texas
Forney,Kaufman County,662.0,Texas
Burkburnett,Wichita County,661.0,Texas
Covington,Hill County,661.0,Texas
Eddy,McLennan County,661.0,Texas
Ballinger,Runnels County,661.0,Texas
Hawley,Jones County,661.0,Texas
Van Vleck,Matagorda County,661.0,Texas
Purdon,Navarro County,661.0,Texas
Huntsville,Walker County,661.0,Texas
Galveston,Galveston County,661.0,Texas
Crowell,Foard County,661.0,Texas
Bivins,Cass County,661.0,Texas
Clifton,Bosque County,661.0,Texas
Denver City,Yoakum County,661.0,Texas
Onalaska,Polk County,661.0,Texas
Euless,Tarrant County,661.0,Texas
Stafford,Fort Bend County,661.0,Texas
Petersburg,Hale County,661.0,Texas
Groveton,Trinity County,661.0,Texas
Woodsboro,Refugio County,661.0,Texas
Chico,Wise County,660.0,Texas
Diana,Upshur County,660.0,Texas
Blooming Grove,Navarro County,660.0,Texas
Midland,Midland County,660.0,Texas
Livingston,Polk County,660.0,Texas
Willis,Montgomery County,660.0,Texas
Jbsa Lackland,Bexar County,660.0,Texas
Linden,Cass County,660.0,Texas
Boling,Wharton County,660.0,Texas
Kopperl,Bosque County,660.0,Texas
Savoy,Fannin County,660.0,Texas
Seminole,Gaines County,659.0,Texas
Cisco,Eastland County,659.0,Texas
Hockley,Harris County,659.0,Texas
Shamrock,Wheeler County,659.0,Texas
Irving,Dallas County,659.0,Texas
Hutto,Williamson County,659.0,Texas
Brookshire,Waller County,659.0,Texas
Celeste,Hunt County,659.0,Texas
Earth,Lamb County,659.0,Texas
Princeton,Collin County,658.0,Texas
Oakwood,Freestone County,658.0,Texas
Bryan,Brazos County,658.0,Texas
Fairfield,Freestone County,658.0,Texas
Honey Grove,Fannin County,658.0,Texas
Martindale,Guadalupe County,658.0,Texas
Rockdale,Milam County,658.0,Texas
Troy,Bell County,658.0,Texas
Lone Oak,Hunt County,658.0,Texas
Santa Anna,Coleman County,658.0,Texas
Coleman,Coleman County,658.0,Texas
Olton,Lamb County,658.0,Texas
Somerville,Burleson County,658.0,Texas
Point,Rains County,658.0,Texas
Fred,Tyler County,658.0,Texas
Humble,Harris County,657.0,Texas
Vidor,Orange County,657.0,Texas
Port Isabel,Cameron County,657.0,Texas
Trinity,Trinity County,657.0,Texas
Garland,Dallas County,657.0,Texas
El Campo,Wharton County,657.0,Texas
Athens,Henderson County,657.0,Texas
Lockney,Floyd County,657.0,Texas
Orange,Orange County,657.0,Texas
Huntington,Angelina County,657.0,Texas
Como,Hopkins County,657.0,Texas
Van,Van Zandt County,657.0,Texas
Kemp,Kaufman County,657.0,Texas
Tahoka,Lynn County,656.0,Texas
Alvin,Brazoria County,656.0,Texas
Winona,Smith County,656.0,Texas
Bartlett,Williamson County,656.0,Texas
Garrison,Nacogdoches County,656.0,Texas
Elm Mott,McLennan County,656.0,Texas
Gatesville,Coryell County,656.0,Texas
New Boston,Bowie County,656.0,Texas
Abilene,Taylor County,656.0,Texas
Maud,Bowie County,656.0,Texas
Woodville,Tyler County,656.0,Texas
Big Sandy,Upshur County,656.0,Texas
Newark,Wise County,656.0,Texas
Mount Enterprise,Rusk County,656.0,Texas
Dawson,Navarro County,656.0,Texas
Dalhart,Dallam County,656.0,Texas
Gardendale,Ector County,656.0,Texas
Highlands,Harris County,655.0,Texas
Childress,Childress County,655.0,Texas
Hughes Springs,Cass County,655.0,Texas
Fruitvale,Van Zandt County,655.0,Texas
Port Lavaca,Calhoun County,655.0,Texas
Malakoff,Henderson County,655.0,Texas
Chillicothe,Hardeman County,655.0,Texas
Silsbee,Hardin County,655.0,Texas
Brownsboro,Henderson County,655.0,Texas
Naples,Cass County,655.0,Texas
Tyler,Smith County,655.0,Texas
Presidio,Presidio County,655.0,Texas
Bronson,Sabine County,655.0,Texas
Cedar Hill,Dallas County,655.0,Texas
Cuero,DeWitt County,655.0,Texas
Sabinal,Uvalde County,655.0,Texas
Talco,Franklin County,655.0,Texas
Deport,Lamar County,655.0,Texas
Cooper,Delta County,654.0,Texas
Merkel,Taylor County,654.0,Texas
Abernathy,Hale County,654.0,Texas
Denison,Grayson County,654.0,Texas
Dumas,Moore County,654.0,Texas
Cedar Creek,Bastrop County,654.0,Texas
Haskell,Haskell County,654.0,Texas
Stanton,Martin County,654.0,Texas
Greenville,Hunt County,654.0,Texas
Gilmer,Upshur County,654.0,Texas
Leesburg,Camp County,654.0,Texas
Beaumont,Jefferson County,654.0,Texas
Duncanville,Dallas County,654.0,Texas
Queen City,Cass County,654.0,Texas
Sundown,Hockley County,654.0,Texas
Hempstead,Waller County,654.0,Texas
Saratoga,Hardin County,654.0,Texas
Red Oak,Ellis County,653.0,Texas
Mabank,Henderson County,653.0,Texas
Cushing,Nacogdoches County,653.0,Texas
Groesbeck,Limestone County,653.0,Texas
Friona,Parmer County,653.0,Texas
Nolanville,Bell County,653.0,Texas
Wills Point,Van Zandt County,653.0,Texas
Atascosa,Bexar County,653.0,Texas
Seguin,Guadalupe County,653.0,Texas
Frost,Navarro County,653.0,Texas
Knox City,Knox County,653.0,Texas
Electra,Wichita County,653.0,Texas
Simms,Bowie County,653.0,Texas
Naval Air Station Jrb,Tarrant County,653.0,Texas
Batson,Hardin County,653.0,Texas
Hidalgo,Hidalgo County,653.0,Texas
Post,Garza County,653.0,Texas
Jacksboro,Jack County,652.0,Texas
Jasper,Jasper County,652.0,Texas
