state,city,population_percent_change,aggravated assault,arson,arson2,burglary,larceny theft,larceny- theft,motor vehicle theft,murder and nonnegligent manslaughter,property crime,rape,rape1,robbery,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,violent crime,population
massachusetts,everett,0.01002889436090526,268.4,2.9,3.2,274.2,1107.7,942.9,160.7,3.9,1509.6,32.6,39.2,65.8,,,,,,373.3,47195.0
pennsylvania,everett,-0.004751992908787139,57.4,0.0,0.0,57.4,1018.2,,57.3,0.0,1132.8,19.1,0.0,14.2,,,,,,85.9,1737.0
washington,everett,0.008529041777990853,222.4,21.5,11.7,718.8,3291.8,2376.6,833.9,4.0,4661.4,49.7,41.4,113.8,,,,,,386.5,112302.0
alabama,evergreen,-0.010508144203333236,856.0,,,1197.4,3210.3,,332.4,9.1,4740.1,147.2,136.9,161.9,,,,,,1170.7,3653.0
illinois,evergreen park,-0.0070448843496444535,122.7,6.8,0.0,179.1,3219.9,4164.1,70.9,2.1,3658.7,18.6,59.5,80.5,,,,,,240.2,19260.0
texas,everman,0.0009419143058078117,245.5,10.4,,569.7,1608.2,,255.9,10.4,2433.8,57.5,,104.5,,,,,,417.9,6382.0
pennsylvania,everson,-0.006535862276310089,65.8,0.0,0.0,65.8,0.0,,0.0,0.0,65.8,0.0,0.0,0.0,,,,,,65.8,760.0
washington,everson,0.01800637927767257,11.6,0.0,11.3,41.4,822.2,858.2,36.3,0.0,908.9,0.0,0.0,0.0,,,,,,11.6,4428.0
missouri,everton,0.005004034449892059,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,302.0
new jersey,evesham township,-0.0025887198057301664,42.8,2.9,3.3,159.9,1041.0,977.8,32.6,0.0,1220.9,2.9,10.0,18.5,,,,,,67.0,44999.0
new jersey,ewing township,-0.001806448792270321,90.3,7.3,4.1,327.4,1426.5,1059.5,117.9,2.7,1798.4,30.2,8.3,80.2,,,,,,194.8,36338.0
missouri,excelsior springs,0.0022515763321877547,63.7,0.0,0.0,513.8,2266.8,1715.7,158.4,0.0,2828.7,66.1,64.3,24.2,,,,,,153.2,11715.0
california,exeter,-0.001019888972020433,160.7,25.1,9.5,674.7,1635.0,1780.8,310.1,1.9,2649.0,12.6,42.7,45.4,,,,,,232.6,10557.0
missouri,exeter,0.001038140853976799,0.0,0.0,0.0,0.0,129.7,0.0,43.2,0.0,129.7,0.0,0.0,0.0,,,,,,0.0,773.0
new hampshire,exeter,0.010818966098953942,70.5,2.2,0.0,71.2,564.6,551.1,24.1,2.7,657.2,29.1,66.3,12.1,,,,,,129.3,15425.0
pennsylvania,exeter,-0.0007158185770747005,227.4,8.9,0.0,281.5,1124.7,,59.8,0.0,1466.0,9.0,18.0,29.9,,,,,,269.2,5580.0
pennsylvania,"exeter township, berks county",0.0018561520334816617,48.3,3.9,0.0,102.4,1177.7,,27.0,0.0,1307.1,16.7,23.2,17.4,,,,,,84.0,25956.0
pennsylvania,"exeter township, luzerne county",0.0,0.0,0.0,,84.8,339.3,,42.4,0.0,466.5,84.8,,0.0,,,,,,84.8,2358.0
virginia,exmore,-0.010206145960177881,212.4,0.0,0.0,339.7,1470.5,1827.5,72.1,27.8,1953.7,23.1,107.9,29.2,,,,,,326.5,1368.0
north carolina,fair bluff,-0.007102282434074403,109.4,0.0,0.0,715.1,3829.3,1360.5,382.9,0.0,3693.0,,113.4,164.1,,,,,,384.9,882.0
missouri,fair grove,0.0050286215055819206,445.3,22.6,0.0,462.6,1537.5,,119.4,0.0,2119.4,22.6,68.7,17.2,,,,,,496.7,1473.0
new jersey,fair haven,-0.008262794772807558,6.8,5.5,0.0,40.6,409.4,172.9,23.7,0.0,426.3,0.0,0.0,3.3,,,,,,10.2,5784.0
vermont,fair haven,-0.005788374362123538,58.7,0.0,0.0,96.1,1224.2,1252.9,58.3,0.0,1392.9,0.0,39.2,19.1,,,,,,97.4,2554.0
michigan,fair haven township,-0.0031067111517831814,0.0,0.0,0.0,23.8,96.0,192.7,0.0,0.0,144.0,48.2,0.0,0.0,,,,,,24.1,1038.0
new jersey,fair lawn,-0.004151750554539979,29.2,3.0,7.5,153.0,903.3,565.6,40.0,3.0,1028.8,7.9,5.9,12.5,,,,,,51.8,33064.0
texas,fair oaks ranch,0.0722171257816806,27.5,4.7,0.0,181.9,309.6,197.0,22.1,0.0,491.1,16.3,14.8,2.6,,,,,,45.8,10151.0
missouri,fair play,0.00324142953950024,72.2,0.0,0.0,287.8,1365.6,,215.7,0.0,1869.1,0.0,0.0,0.0,,,,,,72.2,465.0
alaska,fairbanks,-0.007354056832657663,426.7,15.5,45.6,461.2,3252.5,3194.4,481.2,15.4,4183.3,68.2,88.8,118.3,,,,,,636.9,31493.0
ohio,fairborn,0.0018065828710245313,124.1,20.9,19.2,500.6,1696.8,1355.0,127.1,3.0,2256.2,78.5,81.3,48.8,,,,,,255.5,33726.0
georgia,fairburn,0.03259597337389608,206.6,4.8,6.6,915.5,3125.9,2367.2,483.6,4.1,4373.2,18.9,39.3,133.9,,,,,,365.6,16264.0
illinois,fairbury,-0.00013876323441419647,232.0,27.7,0.0,204.1,710.0,222.1,18.6,0.0,770.0,0.0,28.0,9.2,,,,,,259.9,3602.0
nebraska,fairbury,-0.012139415760451189,430.3,13.3,0.0,457.6,2541.2,,195.1,8.8,3193.9,93.2,54.3,8.8,,,,,,528.2,3680.0
california,fairfax,-0.0030632015360346765,73.3,4.3,13.1,206.9,1176.7,1017.3,68.0,0.0,1419.8,43.4,19.8,18.3,,,,,,125.6,7569.0
minnesota,fairfax,-0.0076304424616781,105.7,0.0,44.4,34.6,2128.0,1242.2,52.9,0.0,2038.3,59.0,0.0,0.0,,,,,,141.1,1127.0
ohio,fairfax,0.0005858200515340695,35.2,0.0,0.0,281.5,15100.8,20760.2,46.9,11.8,16561.0,0.0,0.0,105.5,,,,,,152.4,1710.0
oklahoma,fairfax,-0.013475384546030256,230.3,0.0,39.4,553.8,505.5,946.4,44.8,0.0,1192.3,24.8,74.9,0.0,,,,,,275.1,1268.0
virginia,fairfax city,-0.0017887321223685193,28.5,13.7,6.1,80.0,1469.9,1247.5,87.4,0.0,1592.9,29.9,22.4,57.9,,,,,,113.4,24689.0
alabama,fairfield,-0.011288286052204999,939.5,,,2004.2,3713.2,,692.8,62.2,6410.2,27.9,74.4,593.4,,,,,,1638.4,10625.0
california,fairfield,0.01009931362104921,241.8,22.9,23.5,377.2,1901.2,2348.3,492.5,5.9,2860.3,52.0,37.5,143.7,,,,,,437.6,118383.0
connecticut,fairfield,0.0015398890233970786,24.8,0.5,0.0,182.8,1245.0,1270.9,103.1,0.3,1536.1,4.3,4.0,18.1,,,,,,47.4,62239.0
illinois,fairfield,-0.004101428179575151,262.5,6.6,30.0,463.3,1651.7,1713.4,43.9,0.0,2171.2,72.8,30.1,24.0,,,,,,342.2,4961.0
iowa,fairfield,0.02562068021801922,106.0,20.1,19.3,1112.1,1911.6,,199.8,0.0,3223.5,20.0,48.4,3.4,,,,,,138.9,10337.0
maine,fairfield,0.000214401357573335,64.3,0.0,0.0,367.4,1906.1,1147.8,85.6,6.1,2207.5,23.0,53.5,27.6,,,,,,137.8,6534.0
ohio,fairfield,-0.0009545571807419995,136.8,7.8,2.3,277.7,1954.2,1755.0,96.1,3.7,2288.1,33.5,31.7,41.7,,,,,,215.0,42620.0
pennsylvania,fairfield,0.004590137963447205,97.5,0.0,0.0,147.6,638.8,,49.1,0.0,835.6,0.0,0.0,0.0,,,,,,97.5,513.0
texas,fairfield,0.0025396629626039946,150.7,0.0,136.3,281.1,816.1,1055.9,75.3,6.8,1220.5,0.0,0.0,54.9,,,,,,212.4,2936.0
arkansas,fairfield bay,-0.005625834254345041,197.1,45.2,45.4,822.7,2013.2,1317.0,80.5,9.1,2777.1,90.0,135.6,9.0,,,,,,323.4,2202.0
ohio,fairfield township,0.007055794219493983,64.7,5.9,6.6,231.4,2756.4,2077.9,34.6,1.8,2886.7,31.3,11.0,19.6,,,,,,109.2,22956.0
new jersey,"fairfield township, essex county",-0.002312559899733113,39.7,13.2,0.0,158.9,1963.9,2114.6,204.0,0.0,2356.9,4.4,6.6,10.6,,,,,,55.6,7472.0
massachusetts,fairhaven,-0.0010221140318031896,233.7,8.3,0.0,304.4,1712.6,1112.8,74.5,1.2,1971.5,41.4,59.1,13.7,,,,,,297.1,15996.0
alabama,fairhope,0.048396574131340575,156.9,,,396.7,2367.9,,126.6,0.0,2891.1,35.0,29.7,21.4,,,,,,212.0,21688.0
minnesota,fairmont,-0.0044107451584121105,81.4,0.0,5.0,405.9,1839.8,1636.2,73.3,0.0,2278.3,59.1,69.8,11.8,,,,,,156.7,10023.0
north carolina,fairmont,-0.00957044293763143,374.9,185.0,56.5,1698.7,2693.0,3383.3,201.0,37.0,4822.8,,153.8,297.7,,,,,,842.6,2601.0
west virginia,fairmont,-0.005562424274075051,193.4,32.3,32.3,390.3,1042.9,,174.6,9.4,1607.8,53.7,21.5,59.0,,,,,,307.5,18430.0
illinois,fairmont city,-0.004267793012056376,56.2,0.0,0.0,259.7,403.5,448.6,113.5,0.0,785.7,13.5,20.3,16.1,,,,,,88.6,2452.0
georgia,fairmount,0.003390943730024798,90.2,0.0,0.0,90.4,1264.6,,90.0,0.0,1444.9,,0.0,0.0,,,,,,90.2,741.0
illinois,fairmount,-0.0052323795814464,0.0,0.0,0.0,32.4,284.5,0.0,0.0,0.0,260.0,0.0,0.0,0.0,,,,,,0.0,602.0
indiana,fairmount,-0.007733042495654763,447.5,0.0,0.0,491.2,44.0,145.2,21.5,0.0,577.0,0.0,36.1,7.0,,,,,,469.0,2754.0
maryland,fairmount heights,-0.0056435203878262286,90.0,0.0,0.0,361.0,782.4,1500.3,398.9,39.1,1685.9,0.0,0.0,155.0,,,,,,284.1,1533.0
colorado,fairplay,0.0,0.0,,0.0,388.1,,1034.9,0.0,0.0,1423.0,,0.0,0.0,,,,,,0.0,773.0
ohio,fairport harbor,0.0009708706444315762,113.2,0.0,,630.8,2312.7,,161.7,0.0,3105.2,,,32.3,,,,,,242.6,3093.0
new york,fairport village,-0.0016416743257674504,26.1,6.2,0.0,81.7,562.2,412.4,22.3,3.7,636.3,6.2,9.2,11.2,,,,,,48.4,5334.0
missouri,fairview,-0.0026246150978579408,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,379.0
new jersey,fairview,-0.001685526882279631,61.0,0.0,0.0,228.8,642.3,728.0,52.7,1.4,941.0,2.3,6.9,88.7,,,,,,155.3,14285.0
oklahoma,fairview,-0.004849797335133688,106.1,0.0,0.0,347.3,610.9,576.7,128.8,0.0,1080.1,12.7,114.8,0.0,,,,,,159.7,2601.0
oregon,fairview,0.0,128.3,32.1,,235.3,2032.1,,823.5,0.0,3090.9,53.5,,32.1,,,,,,213.9,9350.0
tennessee,fairview,0.018997823094064392,180.0,0.0,5.8,241.7,1376.9,1081.6,111.8,0.0,1671.3,43.2,39.5,4.7,,,,,,226.5,9153.0
texas,fairview,0.01573210197580366,37.6,0.0,0.0,90.4,489.8,299.5,31.4,0.0,573.5,7.2,0.0,4.3,,,,,,46.2,9350.0
utah,fairview,0.007411785348165001,130.2,0.0,0.0,77.9,494.9,,77.8,0.0,650.6,79.1,0.0,0.0,,,,,,156.6,1296.0
illinois,fairview heights,-0.005799472853092347,190.2,6.0,0.0,336.6,4013.1,3152.5,150.6,3.6,4328.1,66.1,39.5,39.7,,,,,,288.9,16368.0
ohio,fairview park,-0.00179733781356195,82.9,3.1,3.1,109.0,928.6,827.1,39.9,1.5,1052.1,6.2,3.1,23.0,,,,,,112.0,16201.0
pennsylvania,"fairview township, luzerne county",-0.00014859912114351115,5.6,0.0,0.0,61.3,602.1,,11.1,5.6,674.5,0.0,0.0,0.0,,,,,,11.2,4485.0
pennsylvania,"fairview township, york county",0.008359617716174883,143.8,1.9,0.0,119.7,855.8,,34.6,0.0,1010.0,24.9,17.2,18.8,,,,,,185.6,17555.0
kansas,fairway,-0.0005013775662936482,33.4,25.1,0.0,83.6,585.1,,83.6,0.0,752.2,0.0,0.0,8.4,,,,,,41.8,3986.0
south dakota,faith,-0.002880439598903828,0.0,0.0,0.0,0.0,119.9,0.0,240.6,0.0,320.5,0.0,0.0,0.0,,,,,,0.0,413.0
minnesota,falcon heights,0.005291744572663903,41.7,0.0,0.0,303.3,1107.6,,89.2,0.0,1500.1,8.9,0.0,17.8,,,,,,65.4,5619.0
texas,falfurrias,-0.004866898732015401,260.6,80.8,0.0,1204.3,1797.3,1286.6,4.2,4.1,2903.6,6.7,0.0,12.3,,,,,,281.0,4819.0
alabama,falkville,-0.006615647895047094,814.1,,,912.7,1844.9,,338.3,0.0,3095.9,79.5,0.0,19.7,,,,,,893.4,1243.0
wisconsin,fall creek,0.0009199577051990371,61.2,0.0,0.0,91.5,343.9,611.6,0.0,0.0,488.9,0.0,38.3,15.2,,,,,,91.8,1308.0
massachusetts,fall river,0.0007990735556782091,773.1,34.6,28.1,483.9,1059.3,560.3,228.8,2.7,1672.2,76.1,58.4,176.2,,,,,,1021.0,89066.0
wisconsin,fall river,0.0037741150118091316,70.8,0.0,0.0,35.7,446.7,0.0,23.8,0.0,416.9,0.0,0.0,0.0,,,,,,94.6,1715.0
nevada,fallon,0.009482286814424423,250.8,6.0,11.8,243.7,3048.9,,127.1,3.9,3419.7,30.1,23.7,27.9,,,,,,310.7,8450.0
virginia,falls church,0.015896039560402198,44.5,4.6,6.8,91.7,1308.5,1152.7,132.8,0.0,1501.9,16.5,17.3,49.2,,,,,,110.5,15008.0
nebraska,falls city,-0.0025860927075347373,80.4,0.0,0.0,208.0,563.6,871.7,88.4,0.0,962.7,12.0,48.4,0.0,,,,,,104.5,4130.0
nebraska,"falls city, ",0.0,71.6,71.6,,71.6,644.1,,119.3,0.0,834.9,0.0,,0.0,,,,,,71.6,4192.0
pennsylvania,"falls township, bucks county",0.0004581629503217499,88.9,7.4,5.9,175.7,1426.7,,123.4,3.9,1725.8,28.1,47.6,50.4,,,,,,177.8,33854.0
new york,fallsburg town,0.0042131813406922625,93.2,0.0,0.0,341.8,515.8,,26.9,0.0,884.5,13.8,16.6,16.6,,,,,,124.3,12207.0
kentucky,falmouth,-0.0022820325332071345,57.0,47.4,0.0,275.2,923.6,1005.3,113.8,9.6,1328.9,0.0,0.0,28.6,,,,,,95.1,2089.0
maine,falmouth,0.008348563134322973,26.3,2.8,0.0,135.4,805.2,1050.3,24.7,1.6,1014.4,12.2,8.2,11.5,,,,,,47.6,12378.0
massachusetts,falmouth,-0.006066979712324172,329.1,4.2,11.2,581.0,892.6,752.0,81.7,0.0,1527.2,46.9,49.9,17.2,,,,,,394.4,30717.0
new jersey,fanwood,-0.000233057703211359,2.6,0.0,0.0,95.8,394.4,220.3,20.7,0.0,476.0,0.0,6.5,18.1,,,,,,23.3,7718.0
new jersey,far hills,-0.00391397192218923,0.0,0.0,0.0,129.2,404.4,330.0,107.6,0.0,626.3,108.2,0.0,0.0,,,,,,64.9,909.0
missouri,farber,-0.003179557188707438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,313.0
north dakota,fargo,0.01464290937588486,270.7,11.3,14.3,543.4,2346.6,2163.7,256.0,3.1,3109.4,72.0,77.2,53.3,,,,,,401.1,127423.0
minnesota,faribault,0.00223122441715895,175.9,8.4,29.4,371.3,1878.2,1409.3,149.1,2.5,2304.8,61.8,67.2,37.9,,,,,,280.3,23913.0
texas,farmers branch,0.045139035074854617,60.8,7.4,4.0,384.3,1710.0,1492.9,312.1,2.1,2363.0,24.4,25.7,69.3,,,,,,157.2,41932.0
california,farmersville,-0.000998761866728759,253.8,15.4,23.2,325.9,978.9,1280.0,270.5,5.6,1635.5,6.2,9.3,59.2,,,,,,326.0,10781.0
illinois,farmersville,-0.007256788725853003,0.0,0.0,0.0,0.0,72.6,,0.0,0.0,72.6,0.0,0.0,0.0,,,,,,0.0,684.0
texas,farmersville,0.002247466211600102,178.7,0.0,0.0,445.3,1112.0,973.1,69.2,0.0,1598.7,67.1,57.8,28.7,,,,,,270.8,3494.0
louisiana,farmerville,-0.007557125041491197,533.5,0.0,39.5,1095.0,4446.9,3355.7,120.4,0.0,5444.0,17.3,0.0,62.8,,,,,,606.7,3725.0
arkansas,farmington,0.02269314843441128,159.1,34.3,20.3,254.5,1111.8,717.5,83.6,8.6,1371.0,43.8,152.3,19.8,,,,,,289.0,7387.0
connecticut,farmington,-0.0013345029791969054,15.6,0.0,2.0,200.1,2042.9,1817.8,98.4,0.0,2296.4,14.3,11.7,20.3,,,,,,49.2,25525.0
illinois,farmington,-0.008542263904371183,211.2,28.9,0.0,508.3,1659.3,939.2,44.0,0.0,2067.5,14.8,89.4,8.7,,,,,,264.6,2236.0
maine,farmington,0.0006325274114307167,47.7,4.4,0.0,188.3,1167.6,973.3,39.8,0.0,1356.9,44.3,66.1,0.0,,,,,,100.7,7603.0
michigan,farmington,-0.0002454032033794018,60.4,6.3,0.0,90.8,768.5,604.5,49.2,0.0,875.7,12.6,14.2,3.8,,,,,,77.4,10587.0
minnesota,farmington,0.0034202879459892532,41.5,5.8,6.5,133.4,696.3,591.4,57.1,0.9,865.7,14.4,8.7,6.1,,,,,,60.6,23335.0
missouri,farmington,0.009185090695473352,267.5,0.0,0.0,297.4,2934.7,2925.2,143.0,2.1,3373.2,10.8,29.0,21.5,,,,,,309.2,19178.0
new hampshire,farmington,0.00258776672730221,145.9,19.5,29.0,413.3,1085.7,937.7,142.5,11.7,1611.9,43.7,43.4,17.5,,,,,,218.6,6932.0
new mexico,farmington,0.009647377423309456,627.1,,,874.4,3014.5,,345.4,8.5,4234.2,178.6,151.4,125.0,,,,,,923.1,45364.0
utah,farmington,0.01837423380743064,32.9,19.6,2.0,175.0,1242.4,1164.9,109.4,0.0,1511.3,25.1,26.0,5.9,,,,,,64.3,25409.0
michigan,farmington hills,-0.0014701980401728987,65.5,6.1,8.0,154.4,869.4,673.1,80.5,0.5,1065.0,18.8,19.7,13.3,,,,,,98.4,81262.0
north carolina,farmville,-0.004968865753090856,547.6,7.1,10.5,918.9,2429.7,2992.1,80.3,4.2,3541.4,,85.5,126.2,,,,,,665.9,4679.0
virginia,farmville,-0.00991520551143954,145.2,4.1,12.5,211.8,2442.9,1864.6,82.7,2.6,2621.7,37.3,62.7,34.6,,,,,,229.8,7830.0
pennsylvania,farrell,-0.010846425252179381,908.7,107.5,63.8,663.0,1912.9,,139.1,21.4,2715.0,64.5,21.3,117.3,,,,,,1090.2,4651.0
texas,farwell,0.002298857228683282,183.5,0.0,0.0,276.0,614.0,380.5,76.6,0.0,920.0,25.7,38.2,15.2,,,,,,229.4,1314.0
texas,fate,0.10155041770263451,41.4,0.0,0.0,67.4,327.0,351.2,33.1,2.9,435.6,23.1,19.5,0.0,,,,,,65.1,15378.0
pennsylvania,fawn township,-0.004718104063184403,96.9,0.0,0.0,160.9,428.8,390.6,85.8,0.0,665.9,0.0,0.0,0.0,,,,,,96.9,2304.0
alabama,fayette,-0.01404825024873213,175.6,,,282.0,1467.4,,175.0,0.0,1924.3,30.1,136.3,5.7,,,,,,237.9,4313.0
missouri,fayette,0.000441922386897442,95.9,24.6,0.0,288.1,988.8,514.9,59.1,7.4,1241.2,61.5,18.4,22.1,,,,,,169.6,2719.0
ohio,fayette,-0.0016064138370935899,40.3,0.0,0.0,201.0,722.3,724.6,80.4,0.0,1004.9,0.0,0.0,0.0,,,,,,40.3,1242.0
pennsylvania,fayette city,-0.01013468926667993,0.0,0.0,0.0,42.8,114.2,180.2,0.0,0.0,173.5,0.0,0.0,0.0,,,,,,0.0,555.0
arkansas,fayetteville,0.014442554642311034,380.0,5.5,8.1,518.1,3503.2,3554.8,442.7,3.1,4474.4,70.4,84.8,71.1,,,,,,530.3,88500.0
georgia,fayetteville,0.022620776766759887,52.8,0.0,5.6,189.4,2658.1,,120.3,1.5,2967.8,38.8,5.6,82.9,,,,,,152.7,18042.0
illinois,fayetteville,0.0,879.8,0.0,,879.8,586.5,,293.3,0.0,1759.5,0.0,,0.0,,,,,,879.8,341.0
north carolina,fayetteville,0.009043254307219417,582.5,29.7,23.6,820.0,3317.6,2691.1,193.0,13.2,4121.8,,55.8,144.2,,,,,,816.3,209614.0
tennessee,fayetteville,-0.0035381176333486586,871.6,27.9,7.1,595.9,3577.2,2682.0,186.0,2.8,4180.1,51.3,56.6,98.3,,,,,,1026.1,7047.0
west virginia,fayetteville,-0.007660253264444528,127.5,34.7,0.0,382.6,3131.8,,104.6,0.0,3618.9,34.7,0.0,11.7,,,,,,162.4,2839.0
colorado,federal heights,0.015362062666156584,397.0,13.1,15.8,556.8,3246.6,,1091.3,7.8,4761.9,101.0,71.3,107.1,,,,,,605.5,12929.0
washington,federal way,0.007513539272451686,193.7,15.9,11.7,662.7,3806.7,3102.3,857.3,5.0,5185.8,49.5,37.7,179.5,,,,,,423.0,98025.0
maryland,federalsburg,0.00015089727978034873,497.5,0.0,18.8,670.8,2486.4,1847.7,143.1,7.5,3172.5,37.7,75.2,60.3,,,,,,618.1,2652.0
ohio,felicity,-0.0036166047758844355,241.4,0.0,0.0,683.4,3980.4,,40.4,0.0,4704.2,0.0,121.2,40.1,,,,,,321.9,825.0
florida,fellsmere,0.011832336268122301,127.7,0.0,0.0,275.3,1097.0,669.0,84.9,3.4,1371.5,0.0,0.0,35.3,,,,,,166.4,5830.0
delaware,felton,0.0016987520189346572,127.2,0.0,0.0,254.3,1534.0,1056.3,14.1,0.0,1706.9,0.0,70.3,28.1,,,,,,183.5,1420.0
wisconsin,fennimore,-0.0004861037455289319,104.9,13.5,0.0,64.6,747.2,324.5,64.6,0.0,791.9,94.2,161.9,0.0,,,,,,226.2,2465.0
michigan,fennville,0.003125482721126671,0.0,0.0,0.0,14.1,480.5,211.1,14.3,0.0,455.0,71.1,35.7,0.0,,,,,,56.9,1421.0
michigan,fenton,-0.002008931232326039,95.4,11.7,8.9,236.4,1696.8,1586.7,93.7,0.0,2004.9,61.8,39.9,14.2,,,,,,162.6,11281.0
delaware,fenwick island,0.025107909677620333,80.7,0.0,0.0,2089.0,2522.5,,0.0,0.0,4611.5,0.0,0.0,0.0,,,,,,80.7,434.0
minnesota,fergus falls,0.008107171701815963,170.5,10.0,7.3,585.6,2979.9,3791.4,131.7,4.4,3859.5,34.6,39.7,23.6,,,,,,235.2,13900.0
kentucky,ferguson,0.0017017573300026623,0.0,0.0,0.0,159.0,318.9,634.9,106.1,0.0,663.0,0.0,0.0,0.0,,,,,,0.0,945.0
missouri,ferguson,-0.003779829856400352,391.1,11.1,0.0,1207.3,2871.0,3358.5,604.0,29.7,4779.8,30.2,36.2,290.2,,,,,,764.1,20664.0
pennsylvania,ferguson township,0.019287594753941262,12.9,1.7,0.0,90.0,495.6,,22.3,1.3,607.9,8.7,0.0,10.4,,,,,,31.1,19551.0
florida,fernandina beach,0.0077621001438126225,145.4,5.4,7.9,300.2,1575.6,1022.8,84.9,4.8,1850.2,29.5,35.6,22.7,,,,,,204.8,12710.0
california,ferndale,0.00014679869394629286,233.9,0.0,0.0,321.5,858.0,1247.2,146.4,0.0,1403.9,48.6,36.4,14.6,,,,,,292.3,1363.0
michigan,ferndale,-0.002449919076473406,151.7,1.6,9.9,337.4,1728.4,1751.5,268.5,1.0,2338.9,21.4,10.0,46.6,,,,,,216.1,20097.0
pennsylvania,ferndale,-0.012541782523296408,0.0,0.0,0.0,0.0,44.1,,0.0,0.0,44.1,0.0,0.0,0.0,,,,,,0.0,1503.0
washington,ferndale,0.03484506577252189,80.7,9.6,0.0,380.0,1709.3,,141.0,1.8,2230.3,24.7,36.3,16.5,,,,,,126.7,14439.0
missouri,ferrelview,0.23404607495071117,359.2,0.0,,71.8,143.7,,143.7,0.0,359.2,143.7,,0.0,,,,,,502.9,872.0
louisiana,ferriday,-0.016438580108926848,468.2,0.0,0.0,1159.7,1751.4,,66.9,21.9,2978.1,0.0,0.0,105.3,,,,,,595.4,3256.0
texas,ferris,0.026536235336787728,120.1,0.0,17.4,491.9,1387.4,1251.7,260.1,0.0,2112.3,52.5,19.3,45.5,,,,,,204.8,2876.0
north dakota,fessenden,-0.015125433678106703,0.0,0.0,0.0,174.8,904.5,0.0,87.2,0.0,985.6,0.0,0.0,0.0,,,,,,0.0,442.0
missouri,festus,0.0038613607190656207,436.6,5.5,16.4,266.6,1424.7,,179.5,2.1,1870.7,35.8,24.6,29.0,,,,,,500.6,12092.0
new jersey,fieldsboro,0.004132294619588528,37.8,0.0,94.2,340.1,519.0,371.1,75.6,0.0,905.0,0.0,0.0,0.0,,,,,,37.8,539.0
washington,fife,0.013762372919227772,492.0,9.9,19.4,1032.4,4930.5,3884.2,1448.8,4.9,7150.0,96.8,136.1,237.9,,,,,,851.2,10324.0
idaho,filer,0.015518603185221913,71.1,0.0,,159.7,255.9,,47.8,0.0,463.3,0.0,,0.0,,,,,,71.1,2813.0
california,fillmore,0.005001586053185125,195.3,34.1,28.5,171.7,518.7,559.4,87.8,2.5,786.4,44.6,34.8,33.0,,,,,,271.6,15911.0
illinois,findlay,-0.006446110653863135,0.0,0.0,0.0,92.9,576.1,0.0,93.9,0.0,647.6,50.5,78.2,0.0,,,,,,61.6,639.0
ohio,findlay,-0.000997602957278354,124.8,7.3,7.2,382.4,2320.2,1838.0,74.1,6.4,2615.9,89.5,85.8,42.7,,,,,,260.9,41350.0
pennsylvania,findlay township,0.020961462518368945,69.5,0.0,0.0,136.8,608.1,,39.7,0.0,784.6,5.7,0.0,0.0,,,,,,73.7,5867.0
washington,fircrest,0.004466701822901431,123.5,9.8,14.6,463.2,1493.2,1050.8,156.9,0.0,2024.8,4.9,21.9,32.5,,,,,,167.6,6852.0
california,firebaugh,-0.0012051630033962368,248.4,15.7,23.7,264.7,741.8,604.8,246.2,0.0,1225.3,102.2,29.6,30.8,,,,,,352.3,8433.0
colorado,firestone,0.055425172204084605,41.2,5.1,20.3,111.8,629.6,604.2,115.3,1.3,851.6,21.3,6.4,4.7,,,,,,62.5,15558.0
illinois,fisher,-0.0014181508756713201,40.7,0.0,0.0,334.9,989.8,813.8,10.1,0.0,1299.6,67.5,0.0,0.0,,,,,,81.1,1966.0
louisiana,fisher,-0.01034001673412055,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,221.0
indiana,fishers,0.014840774129612821,20.1,2.2,4.7,55.8,867.3,665.9,48.1,0.4,930.9,7.2,12.8,10.0,,,,,,40.0,95506.0
new york,fishkill town,-0.0027278029858904818,20.5,4.6,0.0,52.0,650.1,863.6,21.3,0.0,766.1,9.3,0.0,16.7,,,,,,39.0,21307.0
new york,fishkill village,-0.006161577494014692,38.0,0.0,0.0,66.2,1754.2,917.4,37.6,0.0,1690.6,0.0,0.0,19.0,,,,,,57.0,2071.0
massachusetts,fitchburg,0.0007599578560106846,492.5,11.5,12.3,433.0,1346.8,982.3,122.4,2.5,1829.2,69.8,87.6,121.9,,,,,,693.8,40621.0
wisconsin,fitchburg,0.022074225459685293,157.4,3.5,3.3,278.1,1329.0,1225.1,148.2,2.0,1734.6,33.2,38.0,74.7,,,,,,265.2,30854.0
illinois,fithian,-0.00646592025744408,0.0,0.0,0.0,87.9,54.6,0.0,0.0,0.0,131.6,0.0,0.0,0.0,,,,,,0.0,455.0
georgia,fitzgerald,-0.013355864973081166,364.6,29.6,0.0,1235.8,3893.0,,163.1,13.9,5291.9,23.1,33.7,179.4,,,,,,580.5,8673.0
